Name,Path,Model_Transcript
844424932406083-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406083-866-m.wav, कि एक्सपर्ट का कहना है कि कच्चे तेल की कीमतों में आई गिरावट
844424932406064-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406064-866-m.wav, सारा अपनी कई बोल्डत स्वीरें इंस्टाग्राम पर शेयर करती रहती है
844424932406085-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406085-866-m.wav, कई जगा तो इन स्तारों पर दोखा दड़ी का केस दायर कर दिया गया है
844424932406094-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406094-866-m.wav, बहे दूसरी तरफ सुपरस्टार विजे को बंब से उडाने की दंगी भी मिली है
844424932406093-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406093-866-m.wav, बड़ी संख्या में खिलाडी और खेल प्रेमी उपस्थित थे
844424932406055-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406055-866-m.wav, आज बरपूर उर्जा रहेगी और काम के गंटे भी बहुत आधिक रहेंगे।
844424932406114-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406114-866-m.wav, कारेकरम की शुरुबात मा सर्श्वती के चर्णों में दीप प्रजलन से हुई
844424932406129-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406129-866-m.wav, बालिवुड एक्टर्स अपनी शादी में सबसे खुशूरत लुक के लिए काफी त्यारी करती है।
844424932406065-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406065-866-m.wav, इनी कारणों ने बीती रात परिवार ने एक साथ जहर खा लिया।
844424932406141-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406141-866-m.wav, मैच में उनकी वग्गिदारी पर फैसला वापिस आने के वाद लिया जाएगा
844424932406058-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406058-866-m.wav, 24 गंटे का जीवन मेरे 8 गंटे में लीन हो गया
844424932406134-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406134-866-m.wav, श्री तोमर ने कहा कि संकल्प जदी मज़गूत हो तो परिणां भी श्रेष्ट होते हैं
844424932406119-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406119-866-m.wav, जैसे थोड़े से पुन्य का कई गुनाफल प्राप्त होता है
844424932406135-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406135-866-m.wav, मिड़ान जीन्स और शर्ट में भी काफी अलग लगते हैं
844424932406096-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406096-866-m.wav, महिलाओं को अक्सर इस समस्या से गुजरना पड़ता है।
844424932406136-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406136-866-m.wav, इसमें कुछ अच्छी वाते हैं तो कुछ कष्ट भी दे जाएंगी
844424932406057-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406057-866-m.wav, समारोह की शुरुवात मारूती सजुकी के चेरमेन आर्सी वारगव ने की
844424932406081-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406081-866-m.wav, फिर हिंदी की संग्या लिखें उसका वे समय लिख लीजिये
844424932406113-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406113-866-m.wav, सुरक्षा बलों द्वारा की जा रही कारवाई के बिरोध में हमला
844424932406097-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406097-866-m.wav, जे सदस्य अलग तेलंगना राज्य का समर्थन जांबिरोध कर रहे थे
844424932406126-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406126-866-m.wav, जह सवास्त के लिए बिशेश रूप से सच है।
844424932406152-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406152-866-m.wav, अगर आप भी वाइरल माइक के इवेट में पार्टिस्पेट करना चाहते हैं तो क्लिक करें
844424932406147-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406147-866-m.wav, काफी कुछ दोनों देशों के बीच रिष्टे पर निर्वर करता है
844424932406140-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406140-866-m.wav, आम आदमी पाटी में सबकुछ शही नहीं चल रहा है
844424932406110-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406110-866-m.wav, कि अक्टर दर्मेंदर एक्टिंग में बापसी करने जा रहे हैं
844424932406061-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406061-866-m.wav, इसके बाद बताये जा रहा है कि सस्ते मास्क आव की सेहत के लिए हनी कारक हैं
844424932406145-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406145-866-m.wav, अक्तूबर में इसका और बड़ा कलीनिक ट्रायल किया जाएगा
844424932406139-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406139-866-m.wav, मेवार और मैयो कालेज के राजिन पर विल्योदों का जित्र अंकित है
844424932406106-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406106-866-m.wav, ऐसे में मुल्यवरिदी का क्या मतलब रह गया।
844424932406148-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406148-866-m.wav, बह अपनी पतनी और बच्चे को स्रक्षित रखने के लिए कोई कसर नहीं शोड़ना चाहते हैं
844424932406108-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406108-866-m.wav, कार का शिष्या तोड़कर समान चोरी करने का प्रयास
844424932406146-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406146-866-m.wav, ट्राले की टक्कर से बाइक सवार जूबक की मौत हो गई।
844424932406133-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406133-866-m.wav, इन माफियाओं को राजनेतिक पाटियों का संगरक्षन मिला होता है।
844424932406099-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406099-866-m.wav, उन मैचों में ना के बराबर दर्शक होते हैं
844424932406104-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406104-866-m.wav, खुशूरत स्किन हर किसी का एक सपना होता है
844424932406060-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406060-866-m.wav, लेकिन इन प्रिक्षाओं में भी हेरा फेरी होती है
844424932406103-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406103-866-m.wav, कलदीप सेन को तीन और गोरब जातव को दो बिकट मिले हैं
844424932406079-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406079-866-m.wav, यह स्वादिष्ट होने के साथ पेट को भी दरुस्त रखने में मददकार होता है
844424932406082-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406082-866-m.wav, जिसका एलान सिंबा के दोरान ही कर दिया गिया था
844424932406067-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406067-866-m.wav, उन्होंने कहा कि परिवहन राज्य का वीशे है और उनकी मदद कर रहा है
844424932406074-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406074-866-m.wav, केजरी वाल के सामने अवसत्ता को बचाने की सबसे बड़ी चनोती है
844424932406068-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406068-866-m.wav, शक्षिक रूप से संस्थान विनोवा बावे विश्य विदाल्य से संबद्ध हैं
844424932406073-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406073-866-m.wav, कमजोर व्यक्ति इसके हलके जटके को भी सेहन करने की स्थिति में नहीं होता
844424932406116-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406116-866-m.wav, इससे पहले तीन दिनों से इसमें कोई बदलाब नहीं आया था
844424932406072-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406072-866-m.wav, उन्होंने लगता है कि बिमारी से तंग आकर जगराम ने अपनी जान दे दी
844424932406070-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406070-866-m.wav, परदान मंत्री नरेंद्र मोद्धी ने प्रभू को इंतजार करने को कहा है।
844424932406095-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406095-866-m.wav, जो देश की सबसे लोग प्रिय जोजना मैंसे एक है।
844424932406112-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406112-866-m.wav, दलितों को बाजपा के बारे में सब पता है।
844424932406150-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406150-866-m.wav, सट्रस और दिनवर काम करने की वज़ासे बाड़ी में पेंड होने लगता है
844424932406105-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406105-866-m.wav, जहां कैसे एक जीवन साथी खोजने के लिए जाने और उसके बाद मैं खुशी होगी
844424932406149-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406149-866-m.wav, जहे बविन परकार के बिंचनों की त्यारी में जहे बनाता है एक अनिवारिय सहायक अर्सोईयों
844424932406076-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406076-866-m.wav, गाइलों को जिला हस्पताल नाहन बर्थी करवाया गया है।
844424932406137-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406137-866-m.wav, आखिलेश ने कहा कि चुनाव में अब बहुत कम समय रह गया है
844424932406100-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406100-866-m.wav, इसके बाद कुछ वक्त वह की सामसंग बबन में बी रुके हैं
844424932406153-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406153-866-m.wav, उन्होंने कहा कि पाटी को इनके लिए सजा बुक्तनी पड़ी
844424932406111-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406111-866-m.wav," इस दुरान काफी समय तक इनेलो, नेताओं और सुरक्षा कर्मियों के बीच भैस हुई।"
844424932406059-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406059-866-m.wav, मोटर साइकिल और साइकिल पर चलने वाले लोग बारिश का अनंद ले रहे हैं
844424932406123-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406123-866-m.wav, दिल्ली वालों को प्राटर्नशिप का पानी पिलाने की पूरी त्यारी हो गई है
844424932406062-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406062-866-m.wav, केल करना एथलिय लिटो में अक्सा सक्रिय शारीरिक गतिविति की पिष्ट भूमि पर उजबल स्थितियां होती हैं
844424932406109-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406109-866-m.wav, जह प्रक्रिया वी परतेक अध्यारोपित संग्रह करने के लिए लागू होता है
844424932406122-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406122-866-m.wav, एक नए बदलाव के बहुत मुल्य समग्री के समान था
844424933474155-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474155-540-m.wav, वे पूर्ण परधान मंत्री इंद्रा गांधी का पौत्र है
844424933474157-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474157-540-m.wav, BBC World Service की भाषा प्रशारन सिवाव के इतिहास भाषा के अधार पर छाटे गए।
844424933474105-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474105-540-m.wav, सिसिर कुमार अधिकार भारत की सुलोहवी लोकसभा में सांसद है
844424933474129-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474129-540-m.wav, इस अधार पर विश्णो जी की आयू सो वर्ष है
844424933474151-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474151-540-m.wav, इसके बाद उन्हें जल में 5 साल की सजा सुनाई गई
844424933474162-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474162-540-m.wav, दूसरे सब्दों में कहे तो मतदाता को नियता से अपनी परस्थंद का नेता चुन सके।
844424933474166-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474166-540-m.wav, लेकिन डोकलाम में अभी तक पी एल ए की कोई अस्थाई पस्तिती नहीं थी।
844424933474154-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474154-540-m.wav," वे जन्म, ब्रियदी, परिणाम, चै, और नास इन च्छ विकारों से रहित है।"
844424933474140-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474140-540-m.wav, भारत में हर मा इस सुचकांग के आंकरे जारी किये जाते हैं
844424933474176-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474176-540-m.wav, सुमेश्वर रचित मन्सुल्लाह में दुर्गो की निमलखित आठ परकार बताये गए हैं
844424933474135-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474135-540-m.wav, हाइब्रिट थियरी की तरह ही अनंत मिटियोरा सबिच हुआ
844424933474114-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474114-540-m.wav, वे नलंद जटा मांसी का लेब लगाते हैं और सौप नलंदों का हार चढ़ाते हैं
844424933474164-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474164-540-m.wav, इसलिए खेत में जल निकास की विवास्ता ठीक परकार से कर लेनी चाहिए
844424933474134-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474134-540-m.wav, समाजिक चेतना के लिए सर गनेश दत ने अपना सारा जीवन समर्फित कर दिया
844424933474137-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474137-540-m.wav, इसने उत्तर और पुर्वी अफिर की अभियान पच्चिमेरेजिस्तान अभियान में भाग लिया था।
844424933474128-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474128-540-m.wav, उनका अंतराश्ट्री व्यापार वर्सो तक मित्र राष्टो के नियंतरन में रहा
844424933507453-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933507453-540-m.wav, प्रस्तावित पिट्रो बीगो हाई स्पीड रेल लाइन हवाई अड़े के माध्यम से बनाई जाएगी
844424933474178-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474178-540-m.wav, वाटरलू के विजेता क्रांति प्रियोधी थे जो विनिष्ट हो चुका था
844424933474089-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474089-540-m.wav, इसके बाद रनविड चिराज की इसानी से दोस्ती करवाने में मदद करता है
844424933474172-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474172-540-m.wav, मंदिरों की नगरी कहा जाने वाला नवागड अपने आप में पुराता तीवक इतिहास संजोया है
844424933474091-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474091-540-m.wav, प्रस्तुत घटना को परमानित करने वाली कोई परमानित याल दिखिर समागरी नहीं मिलती।
844424933474101-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474101-540-m.wav, बहुत सिगरता से उपलब्द न होने के कारण इसमें मिलावट काफी होते हैं
844424933474122-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474122-540-m.wav, अंदर सिंड्रेला स्टोरी अर्थ एक अन्य सिंड्रेला कहानी 2008 का एक रोमांटिक हासे चल चित्र है
844424933474130-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474130-540-m.wav," इसमें अमिता बच्चन, अजै देवगन, सोनाली बेंद्रे और आसीस विद्यार्थी मोख्य भुमिकाओं में हैं"
844424933474149-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474149-540-m.wav, जीति होने का मतलब है किसी चीज पर लोगो कार्यववाग या इस्थिति न बदलना
844424933474110-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474110-540-m.wav, सुरत निकलने के बाद थंडी हवा गर्म होती है और उपर उठती है
844424933474180-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474180-540-m.wav, इनका समराज्या मध्यपर्देश के बड़े भूभाग पर फैला हुआ था
844424933474146-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474146-540-m.wav, कुलकाता पतन में एक अधिनिक कंप्यूटारिक्रिती कंटेनर टर्मिनल भी है
844424933507449-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933507449-540-m.wav, 15 और 50 की उम्र के बिच पुरुष विशय पाईक परनाली के अनिवारे सदस्य हैं
844424933474168-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474168-540-m.wav, पुझी बाजार में लंबी आउथी के निवेश के बीट पुषण के लिए बनाया जया।
844424933474084-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474084-540-m.wav, इस यूद में संत द्वन्दाराम ने अच्छी बिर्ते दिखाई।
844424933474124-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474124-540-m.wav, बुन्देल खांड उत्तर प्रदेश और मध्य प्रांत में विभाजित हो गया
844424933474103-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474103-540-m.wav, इसी परकार तीसरा और चौता सब तक भी होता है
844424933507455-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933507455-540-m.wav, हिंदी में बैजानिक गुरंथों की रचना ही गुरुकुल दोरा पराराम हुई
844424933474127-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474127-540-m.wav, फैरो के निसान की जसुसी कारे में सहायता
844424933474143-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474143-540-m.wav, आम तर पर मृत रामनों को दफनाने के अस्थान पर उनका दाश संस्कार किया जाता था
844424933507459-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933507459-540-m.wav, हला कि बीतिय कारणों के कारण देश वापस ले लिया गया
844424933474150-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474150-540-m.wav, नवरात्र पर्व के दूसरे दिन मा ब्रह्मचारिनी की पूजा अर्चना की जाती है
844424933474115-540-m.wav,/content/kathbath/kathbath/hindi/test/audio/540/844424933474115-540-m.wav, नागौर का एक नाम अहि छत्रपूर भी है जिसका उलेख महाभारत में है
